Age,Gender,Max_BPM,Avg_BPM,Resting_BPM,Calories_Burned,Exercise_Type,Fat_Percentage,Water_Intake (liters),BMI,Exercise_Duration_Seconds,Height_cm,Weight_kg,VO2Max,Distance_m,Temperature_C,Water_Intake_Liters
39.0,FEMALE,190.0,148.0,58.0,925.0,HIIT,26.9,1.9,22.51,4500.0,169.0,64.3,,0.0,29,2.24
42.0,FEMALE,173.0,169.0,62.0,1080.0,YOGA,26.1,1.8,21.78,5111.999999999999,171.0,63.7,,0.0,2,2.61
44.0,MALE,192.0,139.0,68.0,502.0,HIIT,27.2,2.7,20.12,2628.0,180.0,65.2,,0.0,34,1.5
59.0,MALE,168.0,135.0,69.0,989.0,STRENGTH_TRAINING,21.6,2.8,17.6,5328.0,175.0,53.9,,0.0,37,2.93
45.0,MALE,186.0,136.0,66.0,1104.0,HIIT,14.2,3.5,24.54,5903.999999999999,186.0,84.9,,0.0,21,2.55
33.0,FEMALE,183.0,135.0,55.0,871.0,HIIT,32.3,1.8,27.64,4644.0,168.0,78.0,,0.0,39,2.37
32.0,MALE,172.0,138.0,53.0,964.0,HIIT,28.4,3.5,33.4,4572.0,180.0,108.2,,0.0,34,2.88
20.0,FEMALE,185.0,127.0,50.0,654.0,YOGA,28.0,2.2,28.31,3708.000000000001,152.0,65.4,,0.0,30,1.58
54.0,FEMALE,188.0,157.0,67.0,1046.0,HIIT,28.2,2.7,19.37,5328.0,161.0,50.2,,0.0,0,2.03
24.0,FEMALE,187.0,157.0,68.0,816.0,CARDIO,31.7,2.5,25.83,3744.000000000001,151.0,58.9,,0.0,35,2.22
38.0,MALE,187.0,148.0,58.0,1237.0,HIIT,10.2,3.5,27.84,5472.0,171.0,81.4,,0.0,1,2.59
26.0,MALE,167.0,160.0,62.0,1162.0,STRENGTH_TRAINING,27.3,2.9,42.63,4752.0,173.0,127.6,,0.0,38,4.33
56.0,FEMALE,182.0,155.0,57.0,879.0,CARDIO,33.4,2.6,24.37,4536.0,156.0,59.3,,0.0,8,2.14
35.0,MALE,188.0,145.0,72.0,1069.0,STRENGTH_TRAINING,24.2,2.9,33.14,4824.0,171.0,96.9,,0.0,28,2.84
21.0,MALE,164.0,150.0,62.0,1072.0,STRENGTH_TRAINING,27.6,3.5,19.11,4680.0,181.0,62.6,,0.0,23,3.14
42.0,MALE,166.0,163.0,64.0,1057.0,STRENGTH_TRAINING,21.7,2.6,17.77,4716.000000000001,160.0,45.5,,0.0,32,3.5
31.0,FEMALE,195.0,131.0,60.0,969.0,CARDIO,28.2,2.0,21.4,5328.0,151.0,48.8,,0.0,26,2.35
26.0,FEMALE,186.0,136.0,61.0,734.0,CARDIO,34.7,2.0,17.3,3888.000000000001,160.0,44.3,,0.0,4,1.43
43.0,MALE,161.0,134.0,63.0,962.0,YOGA,29.9,2.9,33.8,5220.0,183.0,113.2,,0.0,1,2.06
19.0,FEMALE,184.0,128.0,53.0,730.0,CARDIO,30.1,2.2,23.93,4103.999999999999,159.0,60.5,,0.0,21,1.56
37.0,MALE,168.0,158.0,50.0,1304.0,HIIT,29.3,2.8,40.1,5400.0,176.0,124.2,,0.0,5,3.48
45.0,MALE,186.0,161.0,73.0,956.0,STRENGTH_TRAINING,25.2,2.5,15.31,4320.0,185.0,52.4,,0.0,26,3.18
24.0,MALE,160.0,167.0,53.0,772.0,YOGA,22.9,3.6,18.07,3024.0,174.0,54.7,,0.0,14,2.05
25.0,MALE,182.0,131.0,68.0,1016.0,CARDIO,22.7,3.0,23.17,5076.0,195.0,88.1,,0.0,26,2.69
52.0,FEMALE,169.0,151.0,58.0,836.0,STRENGTH_TRAINING,34.3,2.0,20.42,4428.0,171.0,59.7,,0.0,22,2.24
31.0,FEMALE,184.0,144.0,59.0,742.0,CARDIO,26.7,2.3,33.61,3708.000000000001,154.0,79.7,,0.0,28,1.8
34.0,FEMALE,162.0,158.0,53.0,1122.0,YOGA,30.8,2.4,19.43,5111.999999999999,162.0,51.0,,0.0,2,2.73
53.0,MALE,165.0,137.0,69.0,1133.0,CARDIO,12.8,3.5,27.18,6011.999999999999,176.0,84.2,,0.0,29,2.98
57.0,MALE,165.0,134.0,58.0,750.0,CARDIO,27.4,3.6,34.18,4068.0,189.0,122.1,,0.0,6,1.6
21.0,MALE,161.0,151.0,62.0,1046.0,STRENGTH_TRAINING,25.0,2.8,32.69,4536.0,172.0,96.7,,0.0,11,2.78
19.0,FEMALE,177.0,125.0,61.0,506.0,HIIT,27.7,1.6,22.78,2916.0,179.0,73.0,,0.0,26,1.23
23.0,MALE,182.0,163.0,60.0,1318.0,CARDIO,21.7,2.7,44.84,5292.0,160.0,114.8,,0.0,24,3.84
59.0,FEMALE,161.0,162.0,61.0,1021.0,YOGA,31.2,2.1,28.35,5040.0,152.0,65.5,,0.0,3,2.48
21.0,FEMALE,171.0,154.0,67.0,832.0,CARDIO,32.2,2.6,21.77,3888.000000000001,152.0,50.3,,0.0,34,2.83
46.0,FEMALE,181.0,153.0,61.0,1150.0,CARDIO,17.8,2.7,20.86,6011.999999999999,171.0,61.0,,0.0,39,3.86
35.0,FEMALE,196.0,157.0,65.0,440.0,HIIT,32.4,2.0,16.99,2016.0,162.0,44.6,,0.0,2,0.86
43.0,FEMALE,179.0,124.0,54.0,580.0,STRENGTH_TRAINING,26.4,2.6,22.45,3744.000000000001,161.0,58.2,,0.0,12,1.12
51.0,FEMALE,198.0,137.0,69.0,666.0,YOGA,33.8,2.1,16.86,3888.000000000001,163.0,44.8,,0.0,39,1.82
27.0,MALE,183.0,135.0,74.0,1299.0,STRENGTH_TRAINING,12.9,3.5,32.93,6300.0,163.0,87.5,,0.0,17,3.0
53.0,MALE,179.0,127.0,61.0,773.0,STRENGTH_TRAINING,21.3,3.7,17.11,4428.0,174.0,51.8,,0.0,6,1.64
31.0,FEMALE,160.0,144.0,70.0,1418.0,STRENGTH_TRAINING,17.3,2.7,22.28,7092.0,170.0,64.4,,0.0,4,3.4
48.0,FEMALE,160.0,151.0,74.0,421.0,CARDIO,33.4,1.5,25.89,2232.0,161.0,67.1,,0.0,10,1.03
32.0,MALE,176.0,145.0,60.0,1587.0,HIIT,14.5,3.5,33.55,7164.0,160.0,85.9,,0.0,26,4.17
25.0,FEMALE,160.0,141.0,58.0,627.0,CARDIO,27.6,2.6,20.88,3204.0,177.0,65.4,,0.0,38,2.13
31.0,FEMALE,189.0,150.0,67.0,1358.0,YOGA,18.6,2.7,19.72,6516.000000000001,176.0,61.1,,0.0,33,3.65
40.0,MALE,162.0,162.0,74.0,1176.0,HIIT,21.0,3.6,39.12,4752.0,165.0,106.5,,0.0,39,4.36
57.0,FEMALE,170.0,129.0,52.0,1004.0,STRENGTH_TRAINING,15.2,2.7,27.7,6228.0,152.0,64.0,,0.0,34,2.69
38.0,FEMALE,183.0,131.0,69.0,963.0,HIIT,30.6,2.7,25.89,5292.0,154.0,61.4,,0.0,1,1.87
33.0,FEMALE,181.0,147.0,66.0,786.0,YOGA,31.9,1.5,15.24,3852.0,163.0,40.5,,0.0,36,2.14
35.0,MALE,185.0,125.0,63.0,743.0,CARDIO,28.0,2.3,21.88,3888.000000000001,179.0,70.1,,0.0,13,1.58
41.0,MALE,172.0,139.0,50.0,777.0,CARDIO,23.4,3.1,35.86,4068.0,162.0,94.1,,0.0,0,1.65
43.0,MALE,160.0,124.0,66.0,663.0,STRENGTH_TRAINING,20.1,2.0,16.76,3888.000000000001,182.0,55.5,,0.0,39,1.96
42.0,FEMALE,183.0,142.0,74.0,875.0,CARDIO,29.8,1.6,18.15,4932.0,172.0,53.7,,0.0,20,1.87
58.0,FEMALE,169.0,128.0,57.0,363.0,CARDIO,25.2,1.8,21.58,2268.0,175.0,66.1,,0.0,3,0.7
46.0,MALE,194.0,148.0,54.0,864.0,YOGA,20.9,2.9,33.16,4248.0,177.0,103.9,,0.0,6,1.83
32.0,FEMALE,183.0,135.0,54.0,1262.0,HIIT,16.6,2.7,24.72,6732.0,158.0,61.7,,0.0,32,3.02
18.0,FEMALE,187.0,165.0,58.0,990.0,CARDIO,29.4,2.2,17.27,4320.0,174.0,52.3,,0.0,14,2.4
42.0,FEMALE,195.0,141.0,52.0,1129.0,YOGA,16.4,2.7,19.65,6408.0,174.0,59.5,,0.0,5,2.16
24.0,FEMALE,175.0,127.0,68.0,546.0,YOGA,30.8,1.5,23.53,3096.0,176.0,72.9,,0.0,17,1.17
26.0,FEMALE,199.0,139.0,72.0,751.0,STRENGTH_TRAINING,25.6,1.7,28.87,3888.000000000001,163.0,76.7,,0.0,35,2.03
41.0,MALE,175.0,133.0,58.0,744.0,YOGA,21.4,2.8,21.53,4068.0,183.0,72.1,,0.0,6,1.58
18.0,FEMALE,176.0,158.0,71.0,1003.0,STRENGTH_TRAINING,32.0,2.2,19.42,4572.0,168.0,54.8,,0.0,2,2.44
25.0,MALE,174.0,156.0,67.0,1150.0,CARDIO,21.4,2.3,29.71,4824.0,188.0,105.0,,0.0,16,3.35
41.0,FEMALE,175.0,169.0,65.0,1103.0,STRENGTH_TRAINING,31.4,2.0,22.89,5220.0,155.0,55.0,,0.0,36,3.75
28.0,MALE,174.0,153.0,50.0,917.0,YOGA,20.5,3.5,29.61,3924.000000000001,166.0,81.6,,0.0,23,2.67
34.0,FEMALE,193.0,130.0,51.0,416.0,HIIT,29.1,2.7,29.53,2304.0,160.0,75.6,,0.0,7,0.81
25.0,MALE,170.0,159.0,63.0,1688.0,HIIT,10.9,3.5,31.44,6948.0,161.0,81.5,,0.0,10,4.42
52.0,FEMALE,160.0,152.0,63.0,1231.0,CARDIO,15.5,2.7,21.53,6480.0,169.0,61.5,,0.0,32,3.68
52.0,MALE,174.0,150.0,50.0,936.0,CARDIO,25.7,3.7,27.85,4536.0,163.0,74.0,,0.0,11,2.49
50.0,FEMALE,185.0,163.0,74.0,924.0,HIIT,34.3,2.6,22.31,4536.0,159.0,56.4,,0.0,31,2.82
22.0,MALE,163.0,153.0,65.0,1052.0,STRENGTH_TRAINING,20.5,2.7,30.3,4500.0,184.0,102.6,,0.0,30,3.48
59.0,FEMALE,164.0,169.0,64.0,441.0,CARDIO,29.2,2.3,22.15,2088.0,157.0,54.6,,0.0,12,1.07
56.0,MALE,194.0,126.0,64.0,805.0,YOGA,27.1,2.7,40.71,4644.0,178.0,129.0,,0.0,2,1.43
58.0,MALE,172.0,168.0,61.0,1106.0,CARDIO,24.6,3.1,37.56,4788.000000000001,166.0,103.5,,0.0,7,2.94
45.0,FEMALE,169.0,142.0,65.0,735.0,STRENGTH_TRAINING,33.1,1.9,26.05,4140.0,151.0,59.4,,0.0,2,1.43
24.0,FEMALE,170.0,165.0,63.0,1625.0,CARDIO,15.9,2.7,18.76,7092.0,179.0,60.1,,0.0,10,3.89
26.0,MALE,177.0,126.0,73.0,804.0,YOGA,29.6,3.0,29.61,4176.0,162.0,77.7,,0.0,22,1.89
25.0,FEMALE,193.0,144.0,64.0,1073.0,YOGA,28.9,2.1,15.7,5364.0,162.0,41.2,,0.0,37,2.91
29.0,MALE,198.0,122.0,72.0,805.0,YOGA,23.4,2.0,22.61,4320.0,161.0,58.6,,0.0,24,1.57
51.0,MALE,182.0,157.0,64.0,420.0,STRENGTH_TRAINING,28.7,3.3,34.5,1944.0000000000005,178.0,109.3,,0.0,18,1.23
50.0,MALE,166.0,139.0,68.0,667.0,STRENGTH_TRAINING,25.6,2.0,18.12,3491.9999999999995,196.0,69.6,,0.0,20,1.56
40.0,FEMALE,198.0,153.0,57.0,1369.0,YOGA,17.6,2.7,17.54,6444.0,179.0,56.2,,0.0,14,2.63
41.0,MALE,162.0,168.0,51.0,424.0,YOGA,27.3,2.5,18.66,1836.0,196.0,71.7,,0.0,7,1.13
54.0,MALE,171.0,163.0,51.0,1404.0,STRENGTH_TRAINING,12.9,3.5,23.09,6264.0,193.0,86.0,,0.0,26,4.61
52.0,FEMALE,166.0,163.0,59.0,1020.0,STRENGTH_TRAINING,26.6,1.5,31.41,5003.999999999999,159.0,79.4,,0.0,4,2.47
57.0,FEMALE,185.0,149.0,52.0,677.0,STRENGTH_TRAINING,31.7,2.0,29.87,3636.0,162.0,78.4,,0.0,21,1.45
39.0,FEMALE,192.0,136.0,72.0,979.0,HIIT,26.3,1.6,21.64,5183.999999999999,160.0,55.4,,0.0,16,2.08
44.0,FEMALE,196.0,129.0,66.0,819.0,STRENGTH_TRAINING,33.1,2.6,25.68,5076.0,155.0,61.7,,0.0,35,1.86
52.0,MALE,174.0,154.0,57.0,1357.0,YOGA,14.9,3.5,25.81,6408.0,182.0,85.5,,0.0,7,3.57
18.0,MALE,161.0,139.0,72.0,1315.0,HIIT,11.9,3.5,23.52,6192.0,193.0,87.6,,0.0,17,3.8
52.0,MALE,166.0,137.0,53.0,685.0,STRENGTH_TRAINING,24.4,2.7,27.85,3636.0,172.0,82.4,,0.0,6,1.46
54.0,MALE,191.0,164.0,63.0,446.0,YOGA,20.5,2.8,23.74,1980.0,168.0,67.0,,0.0,5,1.18
31.0,FEMALE,163.0,163.0,70.0,888.0,CARDIO,25.1,1.9,16.52,3924.000000000001,160.0,42.3,,0.0,2,2.15
20.0,MALE,179.0,146.0,59.0,1357.0,HIIT,14.6,3.5,20.88,6083.999999999999,199.0,82.7,,0.0,1,2.86
18.0,MALE,195.0,168.0,50.0,1303.0,YOGA,21.3,3.1,30.52,5076.0,174.0,92.4,,0.0,20,3.8
22.0,FEMALE,191.0,155.0,53.0,790.0,CARDIO,29.5,2.4,26.65,3672.0,154.0,63.2,,0.0,3,1.53
43.0,MALE,187.0,142.0,50.0,858.0,YOGA,28.2,3.1,24.16,4392.0,185.0,82.7,,0.0,32,2.29
31.0,MALE,172.0,151.0,66.0,1071.0,STRENGTH_TRAINING,28.9,3.3,27.96,4644.0,176.0,86.6,,0.0,27,3.57
56.0,MALE,160.0,129.0,66.0,639.0,STRENGTH_TRAINING,25.2,3.5,34.06,3600.0,195.0,129.5,,0.0,25,1.49
44.0,MALE,194.0,130.0,56.0,824.0,CARDIO,25.7,3.5,29.26,4608.0,183.0,98.0,,0.0,24,1.93
26.0,MALE,189.0,157.0,72.0,1701.0,STRENGTH_TRAINING,13.3,3.5,30.54,7092.0,168.0,86.2,,0.0,1,3.58
32.0,MALE,195.0,125.0,69.0,880.0,YOGA,29.6,3.1,29.95,4608.0,162.0,78.6,,0.0,1,1.57
32.0,FEMALE,184.0,160.0,64.0,408.0,CARDIO,31.0,1.8,21.41,1836.0,166.0,59.0,,0.0,11,0.99
43.0,FEMALE,175.0,166.0,62.0,1479.0,YOGA,17.8,2.7,17.88,7128.0,179.0,57.3,,0.0,23,3.9
59.0,MALE,178.0,153.0,51.0,500.0,YOGA,20.1,3.1,34.24,2376.0,189.0,122.3,,0.0,33,1.85
30.0,MALE,160.0,155.0,68.0,1373.0,YOGA,10.4,3.5,22.43,5796.000000000001,195.0,85.3,,0.0,13,3.6
49.0,FEMALE,164.0,156.0,73.0,870.0,STRENGTH_TRAINING,30.8,2.1,14.93,4464.0,174.0,45.2,,0.0,6,2.11
56.0,MALE,181.0,136.0,62.0,458.0,STRENGTH_TRAINING,29.4,3.2,15.08,2448.0000000000005,192.0,55.6,,0.0,36,1.37
49.0,MALE,183.0,159.0,73.0,1503.0,YOGA,14.3,3.5,21.78,6876.0,195.0,82.8,,0.0,35,5.53
21.0,MALE,196.0,159.0,60.0,1207.0,HIIT,29.8,3.4,45.43,4968.0,166.0,125.2,,0.0,37,3.61
47.0,FEMALE,195.0,131.0,71.0,837.0,YOGA,30.3,2.4,18.26,5111.999999999999,179.0,58.5,,0.0,0,1.36
54.0,MALE,195.0,140.0,64.0,811.0,YOGA,27.9,3.4,22.64,4211.999999999999,195.0,86.1,,0.0,14,1.73
40.0,FEMALE,163.0,159.0,59.0,1041.0,CARDIO,33.4,1.6,24.5,4716.000000000001,161.0,63.5,,0.0,36,3.55
56.0,MALE,195.0,138.0,58.0,451.0,YOGA,26.5,2.1,24.55,2376.0,168.0,69.3,,0.0,20,1.06
32.0,FEMALE,177.0,122.0,58.0,756.0,STRENGTH_TRAINING,28.4,1.8,26.86,4464.0,162.0,70.5,,0.0,2,1.47
46.0,FEMALE,175.0,137.0,69.0,1042.0,CARDIO,17.3,2.7,22.08,6083.999999999999,165.0,60.1,,0.0,4,2.0
53.0,MALE,177.0,138.0,50.0,608.0,HIIT,28.6,3.5,24.75,3204.0,195.0,94.1,,0.0,25,1.43
30.0,FEMALE,181.0,166.0,66.0,1046.0,CARDIO,28.0,2.5,30.18,4536.0,162.0,79.2,,0.0,22,2.79
49.0,MALE,161.0,125.0,61.0,854.0,HIIT,29.2,3.2,31.61,4968.0,191.0,115.3,,0.0,21,2.01
24.0,FEMALE,180.0,135.0,59.0,958.0,CARDIO,27.3,2.3,19.63,5111.999999999999,179.0,62.9,,0.0,24,2.04
39.0,MALE,195.0,127.0,54.0,678.0,CARDIO,27.5,3.2,23.05,3491.9999999999995,164.0,62.0,,0.0,1,1.45
45.0,MALE,198.0,167.0,67.0,1265.0,HIIT,13.2,3.5,27.93,5508.0,178.0,88.5,,0.0,13,3.32
19.0,FEMALE,198.0,137.0,64.0,877.0,STRENGTH_TRAINING,32.5,2.6,23.59,4608.0,177.0,73.9,,0.0,38,2.39
59.0,MALE,188.0,167.0,55.0,885.0,STRENGTH_TRAINING,24.4,3.4,13.23,3852.0,195.0,50.3,,0.0,38,3.29
23.0,MALE,185.0,162.0,56.0,624.0,STRENGTH_TRAINING,29.3,3.1,25.65,2520.0,180.0,83.1,,0.0,19,1.83
45.0,FEMALE,180.0,158.0,66.0,1038.0,CARDIO,31.3,2.3,20.55,5256.0,178.0,65.1,,0.0,15,2.78
45.0,MALE,176.0,168.0,55.0,1214.0,YOGA,22.9,2.4,14.54,5256.0,179.0,46.6,,0.0,24,3.54
37.0,MALE,175.0,168.0,57.0,499.0,CARDIO,26.4,3.1,28.97,1944.0000000000005,189.0,103.5,,0.0,9,1.33
47.0,FEMALE,190.0,131.0,61.0,1150.0,YOGA,16.4,2.7,26.1,7020.0,154.0,61.9,,0.0,22,2.42
28.0,FEMALE,168.0,164.0,70.0,1082.0,YOGA,27.9,2.0,20.06,4752.0,161.0,52.0,,0.0,2,2.62
45.0,MALE,190.0,129.0,63.0,530.0,STRENGTH_TRAINING,24.0,2.3,38.78,2988.0,171.0,113.4,,0.0,36,1.58
42.0,MALE,173.0,126.0,61.0,886.0,YOGA,28.5,3.4,16.04,5111.999999999999,198.0,62.9,,0.0,7,1.89
56.0,FEMALE,196.0,165.0,72.0,913.0,CARDIO,30.0,2.1,12.47,4428.0,180.0,40.4,,0.0,10,2.22
50.0,FEMALE,161.0,120.0,59.0,362.0,CARDIO,31.8,2.7,21.91,2412.0,175.0,67.1,,0.0,0,0.7
18.0,MALE,173.0,168.0,71.0,1201.0,STRENGTH_TRAINING,23.9,2.5,27.01,4680.0,161.0,70.0,,0.0,5,3.19
44.0,FEMALE,192.0,155.0,69.0,711.0,HIIT,27.6,2.1,22.69,3672.0,175.0,69.5,,0.0,34,1.93
30.0,MALE,194.0,140.0,64.0,832.0,CARDIO,29.5,2.8,39.16,3888.000000000001,166.0,107.9,,0.0,18,1.95
58.0,MALE,198.0,156.0,56.0,1151.0,YOGA,26.0,2.2,29.88,5364.0,191.0,109.0,,0.0,28,3.06
20.0,MALE,179.0,143.0,58.0,1070.0,CARDIO,29.3,2.7,27.69,4896.000000000001,191.0,101.0,,0.0,21,2.51
56.0,MALE,161.0,144.0,59.0,1119.0,CARDIO,11.0,3.5,25.86,5652.0,185.0,88.5,,0.0,14,2.93
23.0,MALE,178.0,126.0,59.0,1074.0,CARDIO,10.7,3.5,24.97,5580.0,180.0,80.9,,0.0,36,3.15
25.0,FEMALE,196.0,161.0,65.0,837.0,HIIT,33.6,1.8,16.42,3744.000000000001,162.0,43.1,,0.0,12,1.63
44.0,FEMALE,177.0,136.0,56.0,967.0,YOGA,18.4,2.7,25.58,5688.000000000001,152.0,59.1,,0.0,22,2.04
26.0,FEMALE,175.0,148.0,54.0,844.0,STRENGTH_TRAINING,26.9,1.7,23.07,4103.999999999999,153.0,54.0,,0.0,28,2.55
54.0,FEMALE,163.0,149.0,72.0,852.0,CARDIO,27.7,1.8,22.82,4572.0,178.0,72.3,,0.0,2,2.06
50.0,MALE,171.0,126.0,52.0,574.0,YOGA,28.0,2.4,13.03,3312.0,198.0,51.1,,0.0,15,1.35
59.0,MALE,188.0,152.0,67.0,813.0,YOGA,24.5,3.2,30.22,3888.000000000001,172.0,89.4,,0.0,31,2.16
41.0,MALE,166.0,126.0,60.0,680.0,STRENGTH_TRAINING,26.7,2.1,15.9,3924.000000000001,180.0,51.5,,0.0,25,1.59
32.0,MALE,173.0,143.0,64.0,1195.0,CARDIO,11.6,3.5,24.87,5472.0,188.0,87.9,,0.0,4,2.51
49.0,FEMALE,171.0,130.0,70.0,644.0,HIIT,28.8,2.2,18.18,3960.0,152.0,42.0,,0.0,2,1.25
49.0,MALE,194.0,128.0,69.0,925.0,YOGA,29.9,3.3,26.77,5256.0,172.0,79.2,,0.0,10,1.65
41.0,MALE,164.0,131.0,54.0,778.0,STRENGTH_TRAINING,22.5,2.8,22.16,4320.0,171.0,64.8,,0.0,27,2.06
58.0,FEMALE,176.0,154.0,73.0,1095.0,HIIT,17.5,2.7,19.88,5688.000000000001,178.0,63.0,,0.0,18,2.89
29.0,FEMALE,191.0,123.0,61.0,418.0,YOGA,33.4,2.6,17.94,2448.0000000000005,177.0,56.2,,0.0,1,0.68
56.0,FEMALE,169.0,155.0,53.0,767.0,CARDIO,27.4,2.3,19.67,3960.0,164.0,52.9,,0.0,39,2.6
19.0,FEMALE,176.0,147.0,64.0,772.0,YOGA,29.2,2.4,17.16,3780.0,169.0,49.0,,0.0,8,1.5
20.0,MALE,164.0,132.0,58.0,603.0,HIIT,26.2,2.3,37.87,2988.0,184.0,128.2,,0.0,37,1.8
54.0,MALE,168.0,142.0,56.0,1082.0,HIIT,12.4,3.5,24.16,5544.0,186.0,83.6,,0.0,13,2.84
34.0,FEMALE,192.0,138.0,59.0,1249.0,CARDIO,17.3,2.7,17.94,6516.000000000001,177.0,56.2,,0.0,23,2.64
19.0,MALE,195.0,161.0,72.0,1133.0,CARDIO,23.6,3.3,27.71,4608.0,178.0,87.8,,0.0,37,3.37
19.0,MALE,195.0,156.0,62.0,1424.0,STRENGTH_TRAINING,12.9,3.5,25.1,5976.0,185.0,85.9,,0.0,32,3.74
45.0,MALE,177.0,158.0,57.0,1126.0,CARDIO,26.2,3.4,14.61,5183.999999999999,187.0,51.1,,0.0,37,4.19
40.0,FEMALE,168.0,143.0,61.0,1337.0,STRENGTH_TRAINING,18.3,2.7,19.63,6732.0,171.0,57.4,,0.0,36,4.49
54.0,MALE,188.0,135.0,71.0,802.0,HIIT,20.7,2.6,31.17,4320.0,192.0,114.9,,0.0,17,1.87
49.0,FEMALE,173.0,152.0,73.0,937.0,HIIT,31.3,1.8,22.54,4932.0,166.0,62.1,,0.0,27,2.85
50.0,MALE,184.0,131.0,68.0,707.0,YOGA,29.5,2.7,15.65,3924.000000000001,191.0,57.1,,0.0,23,1.66
18.0,MALE,174.0,153.0,50.0,926.0,YOGA,25.4,3.3,21.02,3960.0,180.0,68.1,,0.0,35,3.45
36.0,MALE,165.0,126.0,65.0,852.0,STRENGTH_TRAINING,27.2,2.7,25.42,4428.0,165.0,69.2,,0.0,24,2.0
19.0,FEMALE,188.0,130.0,71.0,800.0,CARDIO,30.6,2.4,28.22,4428.0,152.0,65.2,,0.0,21,1.71
43.0,MALE,174.0,150.0,66.0,988.0,CARDIO,28.5,2.2,36.29,4788.000000000001,173.0,108.6,,0.0,9,2.63
49.0,FEMALE,188.0,148.0,74.0,686.0,YOGA,34.3,2.5,14.69,3708.000000000001,165.0,40.0,,0.0,9,1.34
23.0,FEMALE,163.0,132.0,67.0,370.0,HIIT,26.8,1.8,16.78,2016.0,158.0,41.9,,0.0,17,0.79
49.0,FEMALE,177.0,150.0,60.0,979.0,STRENGTH_TRAINING,29.4,1.8,29.56,5220.0,152.0,68.3,,0.0,5,2.38
